scene,lpips,psnr,ssim
chair,0.027596454535211836,27.556126730782644,0.9598055311611721
lego,0.034860796694244654,26.661448342459543,0.950590193271637
materials,0.03019752380039011,25.67965807233538,0.9462479097502572
drums,0.06572833178298813,21.613070351736887,0.9033567139080593
average,0.039595776703208685,25.377575874328613,0.9400000870227814
